Offering	Leaders	Description	Grade	Capacity
Make your own Animation on the IPAD	Carter	" (YOU MAY NOT SIGN UP IF YOU PARTICIPATED IN THIS SESSION LAST TIME!) Students could sketch, use clay, and use objects they bring in to make their animation come to life. "	7	10
Applied Physics in the Middle Ages 	Buckley	"(YOU MAY NOT SIGN UP IF YOU PARTICIPATED IN THIS SESSION BEFORE!)  During applied physics in the middle ages we will look at how Newtonian physics was put in action using wood and stone construction and how these structures shaped life in the middle ages.  We will look at armor, weapons, and the construction techniques employed in houses, bridges, cathedrals and castles built during the middle ages.  Each student will also spend part of the class helping build a golf ball flinging trebuchet.  Students will spend some time working on individual projects or lessons and some time contributing to the large construction project which is likely to take multiple ice block rotations to complete.  Once completed, students who worked on the trebuchet will have the opportunity to put it into action on the back field.	"6, 7, 8"	10
Art of the Picture Book 	Billip	"Bring one of your own stories to illustrate or try your hand at one of the old favorites.  We will create a ""dummy"" and experiment with various drawing materials."	"6, 7, 8"	12
Yoga with Music	Students &  Lemay	"We will learn basic fundamentals of yoga, incorporating some more advanced poses and balances over time.  The class will be set to pop music.  We would love if this class could be eight grade only, as to maintain a certain maturity to the activity.  Thanks."	8	15
Chess	Klimasmith & Finkelstein	"This activity is designed for any and all students.  No prior knowledge of the rules of the game is required.  If you enjoy playing chess or simply want to learn how to play, come join us for some fun! But remember, you will be playing chess for 45 minutes every week!"	"6, 7, 8"	30
Collaborative Choreography	Levy	"Does Pharrell Williams' new song ""Happy"" make you want to dance? Then this is the ICE block for you! In this session we will create a patchwork choreography; each student will be responsible for choreographing one part of the song. At the end of the session we will perform the dance as a whole, representing everyone's unique style of movement. No dance experience is required. You should be prepared to take some risks in experimenting with movements and clap your hands if you feel like happiness is the truth!"	"6, 7, 8"	15
Computer Programming: Scratch 6th	Dove &  Benjamin	"(YOU MAY NOT SIGN UP IF YOU PARTICIPATED IN THIS SESSION LAST TIME!) Scratch is a programming language. It’s easy to learn, and allows you to make simple or complex videogames/animations. Come and give it a go!  "	6	20
Computer Simulation Games	Yarmovsky & Ward	"Using amazing simulation technology, build the best and most profitable vacation resort you could possibly imagine (Resort Empire) or create a giant shopping mall from a vacant city lot (Shop Empire 2).  In order to make these empires grow you will have to examine demands of your clients, as well as the art of hiring and firing personnel"	"7, 8"	20
Creating Digital Music	Passeri & DeChellis	(YOU MAY NOT SIGN UP IF YOU PARTICIPATED IN THIS SESSION LAST TIME!) Have fun mixing beats and creating music tracks using GarageBand and other music technology software.  No experience necessary! 	6	24
Dance Club	Students & Horst	"Like to dance? Want to try? We will teach you how to dance (and you’ll have a fun time doing it.) Different dance types will be taught: hip-hop, robotics, salsa and bachata.  You should be willing to try partner dancing…"	"7, 8"	15
